,GPU MODEL,VRAM,H/s,APP,OS,TDP,DATE,GPU MODEL SPLIT
14,6X SAPPHIRE VEGA 64 BLACK EDITION,8 GB HBM2 MEMORY,11000,"XMR-STAK-AMD, 2 threads / GPU, 2016 + 1600 thread intensities, worksize 8",WINDOWS 10 x64,1250 W,"Sep, 2017.",['6X SAPPHIRE VEGA 64 BLACK EDITION']
15,12X RX 580 SAPHIRE NITRO+/HYNIX MEMORY/BIOS MODIFIED (1250/2150)/ADRENALIN 17.2.2,8 GB DDR5,10100,CAST-XMR 0.8.1 -I 7,WINDOWS 10 x64,N/A,"Dec, 2017.",['12X RX 580 SAPHIRE NITRO+/HYNIX MEMORY/BIOS MODIFIED (1250/2150)/ADRENALIN 17.2.2']
16,4X NITRO+ RX 570 8GB(1240/2150)/8X XFX RX 580 8GB(1245/2150),8 GB DDR5,10100,CAST XMR,WINDOWS 10 x64,120 W,"Dec, 2017.",['4X NITRO+ RX 570 8GB(1240/2150)/8X XFX RX 580 8GB(1245/2150)']
17,5X SAPPHIRE VEGA 64,8 GB HBM2 MEMORY,10000,XMR STAK,WINDOWS 10 x64,932 W,"Dec, 2017.",['5X SAPPHIRE VEGA 64']
18,"13X POWERCOOLER ""RED DEVIL"" RX 580",8 GB DDR5,9800,XMR-STAK-AMD-GIT,ARCHLINUX x64,1750 W,"Oct, 2017.","['13X POWERCOOLER ""RED DEVIL"" RX 580']"
19,12X R9 290,4 GB DDR5,9100,CLAYMORE 10.2,WINDOWS SERVER 2016,150 W,"Nov, 2017.",['12X R9 290']
20,5X SAPPHIRE RX VEGA 56,8 GB HBM2 MEMORY,9000,"XMR-STAK-AMD-NOTLS, 2 THREADS, INTENSITIES 2016, 1600, WORKSIZE 8, DRIVERS AMD BETA BLOCKHAIN (17.30.1029) AND HBCC ACTIVATED (USE VIRTUAL RAM IF NECESSARY)",WINDOWS 10 x64,930 W,"Oct, 2017.",['5X SAPPHIRE RX VEGA 56']
21,10X ASUS RX 580 4GB DUAL OC,4 GB DDR5,8150,CLAYMORE CRYPTONOTE AMD GPU MINER V10.2,WINDOWS 10 x64,80 W,"Dec, 2017.",['10X ASUS RX 580 4GB DUAL OC']
22,RADEON RX VEGA,8 GB DDR5,8150,CLAYMORE CRYTONOTE,WINDOWS 10 x64,N/A,"Dec, 2017.",['RADEON RX VEGA']
23,4X SAPPHIRE VEGA RX 64,8 GB DDR3,8110,XMR-STAK,WINDOWS 10 x64,N/A,"Dec, 2017.",['4X SAPPHIRE VEGA RX 64']
24,4X SAPPHIRE VEGA 64,8 GB HBM2 MEMORY,8030,XMR STAK,WINDOWS 10 x64,730 W,"Dec, 2017.",['4X SAPPHIRE VEGA 64']
25,4X VEGA 64 LIQUID,8 GB HBM2 MEMORY,7900,XMR-STAK-AMD,WINDOWS 10 x64,760 W,"Nov, 2017.",['4X VEGA 64 LIQUID']
26,4X POWERCOLOR RX VEGA 64,8 GB HBM MEMORY,7880,"XMR-STAK-AMD, 2 THREADS / GPU, 2016 + 1800 THREAD INTENSITIES, WORKSIZE 8, BLOCKCHAIN DRIVERS(17.30.1029), HBCC ACTIVATED, UNDERVOLTING REGISTRY",WINDOWS 10 x64,880 W,"Oct, 2017.",['4X POWERCOLOR RX VEGA 64']
27,"4X GIGABYTE RADEON VEGA 56 (64BIOS, CORE1408, MEM1100, SOFTPPTABLE UV)",8 GB HBM MEMORY,7850,CAST_XMR-VEGA 080,WINDOWS 10 x64,680 W,"Dec, 2017.","['4X GIGABYTE RADEON VEGA 56 (64BIOS, CORE1408, MEM1100, SOFTPPTABLE UV)']"
28,3X VEGA 56 + 1X VEGA 64,8 GB HBM2 MEMORY,7400,XMR-STAK-AMD,WINDOWS 10 x64,610 W,"Oct, 2017.","['3X VEGA 56', '1X VEGA 64']"
29,1X GIGABYTE VEGA 56 + 3X MSI VEGA 64,8 GB HBM2 MEMORY,7400,CAST_XMR-VEGA 060,WINDOWS 10 x64,950 W,"Dec, 2017.","['1X GIGABYTE VEGA 56', '3X MSI VEGA 64']"
30,MSI RX 580 ARMOR OC 8GB X 10,8 GB DDR5,7380,CLAYMORE'S 9.7,WINDOWS 10 x64,N/A,"Sep, 2017.",['MSI RX 580 ARMOR OC 8GB X 10']
31,4* GIGABYTE RX VEGA 56,8 GB HBM2 MEMORY,7320,CAST 060,UBUNTU 16.04 x64,765 W,"Nov, 2017.",['4* GIGABYTE RX VEGA 56']
32,4X SAPPHIRE RX VEGA 56,8 GB HBM2 MEMORY,7300,"XMR-STAK-AMD-NOTLS, 2 THREADS, INTENSITIES 2016, 1600, WORKSIZE 8, DRIVERS AMD BETA BLOCKHAIN (17.30.1029) AND HBCC ACTIVATED (USE VIRTUAL RAM IF NECESSARY)",WINDOWS 10 x64,190 W,"Oct, 2017.",['4X SAPPHIRE RX VEGA 56']
33,3X VEGA 64 + 1X VEGA 56,8 GB HBM MEMORY,7200,XMR-STAK-AMD (2018 / 1600 + 2018 / 1736  | MODDIFIED WATTMAN SETTINGS),WINDOWS 10 x64,N/A,"Nov, 2017.","['3X VEGA 64', '1X VEGA 56']"
34,8 * RX 580 ON ASUS Z270-P,8 GB DDR5,7200,XMR-STAK,WINDOWS 10 x64,N/A,"Dec, 2017.",['8 * RX 580 ON ASUS Z270-P']
35,"2X RX 580, 7X RX 570 (BIOS MOD)",4 GB DDR5,7052,XMR-STAK-AMD,UBUNTU 16.04 x64,890 W,"Nov, 2017.","['2X RX 580, 7X RX 570 (BIOS MOD)']"
36,4X VEGA 56,8 GB HBM2 MEMORY,7000,XMR STAK AMD,WINDOWS 10 x64,680 W,"Nov, 2017.",['4X VEGA 56']
